carte,categorie,question,reponse,difficulte,theme
583,Sciences & Nature,À partir de quelle valeur de l'indice de masse corporelle l'OMS parle-t-elle d'obésité ?,30,2,Nutrition
583,Sports & Loisirs,Dans quelle ville l'équipe de France masculine de handball a-t-elle remporté son premier titre olympique ?,Pékin (Beijing),2,Handball – compétitions
584,Géographie,"Quel archipel de l'Atlantique Nord, rattaché au Danemark, a pour capitale Tórshavn ?",Les îles Féroé,3,Îles
584,Divertissement,Quel magicien à la longue barbe guide la Communauté de l'Anneau dans « Le Seigneur des anneaux » ?,Gandalf,1,Sagas
584,Histoire,Quel roi de Babylone fit graver sur une stèle l'un des plus anciens recueils de lois connus ?,Hammurabi,1,Mésopotamie et Proche-Orient
584,Arts & Littérature,"Quelle abbatiale au nord de Paris est considérée comme le berceau de l'art gothique, sous l'abbé Suger ?",La basilique de Saint-Denis,2,Styles architecturaux
584,Sciences & Nature,"Quel conduit, portant le nom d'un anatomiste italien, relie l'oreille moyenne à l'arrière-gorge ?",La trompe d'Eustache,3,Sens : l'ouïe
584,Sports & Loisirs,Quel pays a remporté la Coupe du monde de rugby 2003 en Australie ?,L'Angleterre,1,Rugby – Coupe du monde
585,Géographie,"Dans quelle ville ivoirienne se dresse la basilique Notre-Dame-de-la-Paix, inspirée de Saint-Pierre de Rome ?",Yamoussoukro,2,Monuments
585,Divertissement,Quelle artiste autrichienne barbue a remporté l'Eurovision 2014 avec « Rise Like a Phoenix » ?,Conchita Wurst,2,Eurovision
585,Histoire,"Quel révolutionnaire aurait lancé au bourreau : « Tu montreras ma tête au peuple, elle en vaut la peine » ?",Georges Danton,2,Révolution française
585,Arts & Littérature,Quel mausolée de marbre blanc l'empereur moghol Shah Jahan fit-il bâtir à Agra pour son épouse ?,Le Taj Mahal,1,Architecture
585,Sciences & Nature,Quels gaz utilisés dans les aérosols et les réfrigérateurs ont été bannis par le protocole de Montréal pour protéger l'ozone ?,Les CFC (chlorofluorocarbures),2,Écologie
585,Sports & Loisirs,"Quel fromage savoyard, surnommé « le prince des gruyères », se reconnaît à sa meule au talon concave ?",Le beaufort,3,Fromages
586,Géographie,Quelle est la capitale du Zimbabwe ?,Harare,2,Capitales
586,Divertissement,Quel tueur en série travaille comme expert en traces de sang pour la police de Miami ?,Dexter Morgan,2,Séries américaines
586,Histoire,Quel chef de la Gestapo de Lyon a été jugé et condamné en France en 1987 ?,Klaus Barbie,2,Résistance
586,Arts & Littérature,Quel cheval ailé est né du cou tranché de Méduse ?,Pégase,1,Mythologie grecque
586,Sciences & Nature,Dans quelle ville s'est tenu le Sommet de la Terre de 1992 ?,Rio de Janeiro,2,Écologie
586,Sports & Loisirs,"Au golf, comment appelle-t-on un trou réussi en deux coups de moins que le par ?",Un eagle,2,Golf
587,Géographie,"Quelle ville yéménite, perchée à plus de 2 000 mètres, est célèbre pour ses maisons-tours décorées de blanc ?",Sanaa,2,Villes
587,Divertissement,"Quelle radio française avait lancé la plateforme de blogs « Skyblog », très populaire chez les adolescents ?",Skyrock,2,Internet
587,Histoire,"Quel pays accède à l'indépendance le 15 août 1947, un jour après le Pakistan ?",L'Inde,1,Décolonisation
587,Arts & Littérature,"Chez Alphonse Daudet, comment s'appelle la chèvre de monsieur Seguin qui se bat toute la nuit contre le loup ?",Blanquette,2,Contes
587,Sciences & Nature,"Quel organite cellulaire, qui porte le nom d'un savant italien, modifie et emballe les protéines ?",L'appareil de Golgi,2,Cellule
587,Sports & Loisirs,Quelle règle sanctionne un attaquant placé plus près du but adverse que l'avant-dernier défenseur au moment de la passe ?,Le hors-jeu,1,Football – règles
588,Géographie,Quel pays est traversé du nord au sud par l'Indus sur l'essentiel de son cours ?,Le Pakistan,2,Asie
588,Divertissement,Quelle chanteuse américaine est surnommée la « Reine de la soul » ?,Aretha Franklin,1,Soul
588,Histoire,"Quel roi de France, surnommé « l'universelle aragne », régna de 1461 à 1483 ?",Louis XI,2,Fin du Moyen Âge en France
588,Arts & Littérature,"Quel écrivain toscan du XIVe siècle a écrit « Le Décaméron », cent nouvelles racontées pendant une épidémie de peste ?",Boccace,2,Littérature italienne
588,Sciences & Nature,Comment appelle-t-on le fruit du hêtre ?,La faine,2,Arbres
588,Sports & Loisirs,Sous quel nom le boxeur Cassius Clay est-il entré dans la légende après sa conversion à l'islam ?,Mohamed Ali,1,Boxe
589,Géographie,Quelle est la capitale de la Namibie ?,Windhoek,3,Capitales
589,Divertissement,De quel pays est originaire le groupe ABBA ?,La Suède,1,Pop européenne
589,Histoire,Quel « roi des Français » règne de 1830 à 1848 ?,Louis-Philippe Ier,1,Monarchie de Juillet
589,Arts & Littérature,Sur quelle ville « il pleuvait sans cesse » dans le poème « Barbara » de Prévert ?,Brest,2,Poésie
589,Sciences & Nature,"Quel mot, inventé par Richard Dawkins en 1976, désigne une unité d'information culturelle qui se propage par imitation ?",Le mème,2,Évolution
589,Sports & Loisirs,Comment appelle-t-on en français le mat en quatre coups qui attaque la case f7 avec la dame et le fou ?,Le coup du berger,2,Échecs
590,Géographie,Quelle ville est la préfecture du département du Bas-Rhin ?,Strasbourg,1,Préfectures
590,Divertissement,Quel auteur belge a créé la série « Blake et Mortimer » ?,Edgar P. Jacobs,2,BD franco-belge
590,Histoire,"Quel roi de France créa en 1445 les compagnies d'ordonnance, première armée permanente ?",Charles VII,3,Guerre de Cent Ans
590,Arts & Littérature,Quel luthier de Crémone a laissé son nom latinisé aux violons les plus prestigieux ?,Stradivarius (Antonio Stradivari),1,Instruments
590,Sciences & Nature,Quel robot de la NASA s'est posé sur Mars en 2021 avec le petit hélicoptère Ingenuity ?,Perseverance,2,Espace : missions
590,Sports & Loisirs,Quel Néerlandais a donné son nom à un célèbre crochet exécuté lors de la Coupe du monde 1974 ?,Johan Cruyff,2,Football – champions
591,Géographie,Quel massif préalpin entre Grenoble et Chambéry a donné son nom à une liqueur fabriquée par des moines ?,La Chartreuse,2,Montagnes
591,Divertissement,Quel réalisateur américain a signé « Beetlejuice » (1988) et « Edward aux mains d'argent » (1990) ?,Tim Burton,2,Réalisateurs
591,Histoire,Quelle navette spatiale américaine a explosé peu après son décollage en janvier 1986 ?,Challenger,2,Conquête spatiale
591,Arts & Littérature,Quel dramaturge a écrit « Le Bourgeois gentilhomme » ?,Molière,1,Théâtre
591,Sciences & Nature,Quelle théorie de Stephen Jay Gould et Niles Eldredge décrit une évolution faite de longues stabilités et de brusques changements ?,Les équilibres ponctués,3,Évolution
591,Sports & Loisirs,Quelle entreprise danoise a breveté en 1958 sa célèbre brique en plastique à tenons et tubes ?,Lego,1,Jouets
592,Géographie,Quelle pagode dorée de Rangoun est le lieu le plus sacré du bouddhisme birman ?,La pagode Shwedagon,3,Monuments et sites
592,Divertissement,Dans quel pays se déroule l'histoire des « Lacs du Connemara » de Michel Sardou ?,L'Irlande,1,Paroles célèbres
592,Histoire,Quel pape d'origine polonaise a été élu en 1978 ?,Jean-Paul II,1,Personnalités
592,Arts & Littérature,"Quel écrivain, tué au front en 1914, a écrit « Le Grand Meaulnes » ?",Alain-Fournier,2,Auteurs
592,Sciences & Nature,"Quelle substance, la plus dure du corps humain, recouvre la couronne des dents ?",L'émail,1,Dents
592,Sports & Loisirs,Quelle ville de l'Aude se proclame « capitale mondiale du cassoulet » ?,Castelnaudary,3,Cuisine régionale
593,Géographie,"Comment appelle-t-on les hauts plateaux calcaires du sud du Massif central, comme le Méjean ou le Larzac ?",Les Causses,2,Montagnes
593,Divertissement,Quel mangaka a créé « One Piece » ?,Eiichirō Oda,2,Mangas
593,Histoire,"Quel roi, élu en 987, a fondé la dynastie dont les descendants directs régnèrent sur la France jusqu'en 1328 ?",Hugues Capet,1,Capétiens
593,Arts & Littérature,Sous quel pseudonyme Gaspard-Félix Tournachon a-t-il photographié Baudelaire et Sarah Bernhardt ?,Nadar,2,Photographie
593,Sciences & Nature,"Quel élément, découvert par les Curie en 1898, doit son nom au mot latin signifiant « rayon » ?",Le radium,2,Chimie : éléments
593,Sports & Loisirs,"Quel jeu de cartes à collectionner, créé en 1993 par Richard Garfield, oppose des duels de magiciens ?",Magic : l'Assemblée,2,Jeux de cartes
594,Géographie,Quelle capitale scandinave est bâtie sur quatorze îles entre le lac Mälar et la Baltique ?,Stockholm,2,Capitales
594,Divertissement,Comment s'appelle la planète désertique où l'on récolte l'Épice dans « Dune » ?,Arrakis,2,Science-fiction
594,Histoire,Comment appelle-t-on la guerre qui ravage le Saint-Empire de 1618 à 1648 ?,La guerre de Trente Ans,1,Guerre de Trente Ans
594,Arts & Littérature,"Quel écrivain nigérian a publié en 1958 « Le monde s'effondre », classique de la littérature africaine ?",Chinua Achebe,3,Littérature africaine
594,Sciences & Nature,Quel mammifère d'Amérique du Sud vit suspendu la tête en bas dans les arbres et se déplace avec une extrême lenteur ?,Le paresseux,1,Mammifères
594,Sports & Loisirs,"Au football américain, combien de points rapporte un touchdown, avant la transformation ?",Six,2,Vocabulaire et règles
595,Géographie,Quelle est la capitale de la Guinée ?,Conakry,2,Capitales
595,Divertissement,Quelle chanson de Charles Aznavour évoque « un temps que les moins de vingt ans ne peuvent pas connaître » ?,La Bohème,1,Paroles célèbres
595,Histoire,Quel Français a présidé la Commission européenne de 1985 à 1995 ?,Jacques Delors,2,Construction européenne
595,Arts & Littérature,Quel artiste américain a photographié Kiki de Montparnasse en « Violon d'Ingres » en 1924 ?,Man Ray,2,Photographie
595,Sciences & Nature,Comment appelle-t-on le petit du chameau ?,Le chamelon,2,Noms des petits
595,Sports & Loisirs,"Que signifie l'expression danoise « leg godt », à l'origine du nom Lego ?",« Joue bien »,2,Jouets
596,Géographie,Quel pays a pour drapeau un fond rouge frappé d'une étoile verte à cinq branches ?,Le Maroc,2,Drapeaux
596,Divertissement,"Quel groupe des frères Gibb signe les tubes de « La Fièvre du samedi soir », dont « Stayin' Alive » ?",Les Bee Gees,2,Musiques de films
596,Histoire,"Quel homme d'État britannique a dénoncé en 1946, à Fulton, un « rideau de fer » tombé sur l'Europe ?",Winston Churchill,1,Guerre froide
596,Arts & Littérature,Quel compositeur baroque a écrit le « Te Deum » dont le prélude sert d'indicatif à l'Eurovision ?,Marc-Antoine Charpentier,2,Musique baroque
596,Sciences & Nature,Quel animal a été réintroduit dans les Pyrénées à partir de 1996 avec des individus venus de Slovénie ?,L'ours brun,2,Écologie
596,Sports & Loisirs,Quel sport de glisse se pratique debout sur une planche munie d'une voile que l'on tient par un wishbone ?,La planche à voile,1,Voile
597,Géographie,"Quelle ville belge, sur l'Escaut, abrite l'un des plus grands ports d'Europe et un célèbre quartier diamantaire ?",Anvers,1,Belgique
597,Divertissement,"Quel génie du crime, surnommé « le Napoléon du crime », est l'ennemi juré de Sherlock Holmes ?",Le professeur Moriarty,2,Personnages de fiction
597,Histoire,Quel empereur accorda en 212 la citoyenneté romaine à tous les hommes libres de l'Empire ?,Caracalla,3,Rome antique
597,Arts & Littérature,Quelles créatures de la mythologie grecque attiraient les marins vers les récifs par leur chant ?,Les Sirènes,1,Mythologie grecque
597,Sciences & Nature,Quelle enzyme de l'estomac commence la digestion des protéines ?,La pepsine,3,Nutrition
597,Sports & Loisirs,Comment nomme-t-on l'action d'arroser un plat d'alcool chaud puis de l'enflammer ?,Flamber,1,Vocabulaire culinaire
598,Géographie,"Quel site d'Irlande du Nord, formé de milliers de colonnes de basalte, serait l'œuvre du géant Finn McCool selon la légende ?",La Chaussée des Géants,2,Sites célèbres
598,Divertissement,Quels deux rappeurs américains rivaux ont été assassinés en 1996 et en 1997 ?,Tupac et The Notorious B.I.G.,2,Rap américain
598,Histoire,"Quel maréchal de Napoléon, surnommé « le Brave des braves », est fusillé en décembre 1815 ?",Michel Ney,2,Napoléon
598,Arts & Littérature,Quelle autrice britannique a créé le jeune sorcier Harry Potter ?,J. K. Rowling,1,Littérature anglaise
598,Sciences & Nature,Quel gaz a pour formule O₃ ?,L'ozone,2,Chimie : molécules
598,Sports & Loisirs,"Comment appelait-on les ouvriers tisserands de la soie lyonnaise, célèbres pour leur révolte de 1831 ?",Les canuts,2,Mode
599,Géographie,Quelle est la capitale de la Slovaquie ?,Bratislava,1,Capitales
599,Divertissement,Dans quelle ville fictive se déroule le feuilleton « Les Feux de l'amour » ?,Genoa City,3,Séries américaines
599,Histoire,Quel peuple anatolien de l'âge du bronze avait pour capitale Hattusa ?,Les Hittites,2,Mésopotamie et Proche-Orient
599,Arts & Littérature,Quelle romancière anglaise a écrit « Orgueil et Préjugés » ?,Jane Austen,1,Littérature anglaise
599,Sciences & Nature,Comment appelle-t-on les micro-organismes vivants consommés pour leurs bienfaits sur la flore intestinale ?,Les probiotiques,2,Nutrition
599,Sports & Loisirs,Quelle boisson le vainqueur des 500 miles d'Indianapolis boit-il traditionnellement sur le podium ?,Du lait,2,Sports mécaniques
600,Géographie,Quel temple de Pékin accueillait l'empereur venu prier pour de bonnes récoltes ?,Le Temple du Ciel,2,Monuments et sites
600,Divertissement,"Quel film Disney de 1940 marie animation et musique classique, avec Mickey en apprenti sorcier ?",Fantasia,2,Animation
600,Histoire,Quel leader étudiant de Mai 68 était surnommé « Dany le Rouge » ?,Daniel Cohn-Bendit,1,Mai 68
600,Arts & Littérature,Quel texte sacré inclus dans le Mahabharata rapporte le dialogue entre Krishna et le guerrier Arjuna ?,La Bhagavad-Gita,3,Épopées d'Asie
600,Sciences & Nature,Quel est le plus grand animal connu ayant jamais vécu sur Terre ?,La baleine bleue,1,Mammifères
600,Sports & Loisirs,Quel vin primeur est traditionnellement mis en vente le troisième jeudi de novembre ?,Le beaujolais nouveau,1,Vins
601,Géographie,Dans quelle ville néerlandaise siège la Cour internationale de justice ?,La Haye,2,Villes
601,Divertissement,"Quel chanteur, ancien membre de la Sexion d'Assaut, a connu le succès avec « Bella » en 2013 ?",Maître Gims (Gims),2,Rap français
601,Histoire,Quelle ville romaine de Campanie fut ensevelie avec Herculanum par l'éruption du Vésuve en 79 ?,Pompéi,1,Rome antique
601,Arts & Littérature,Quel roman de Thomas Mann se déroule dans un sanatorium de Davos ?,La Montagne magique,2,Littérature allemande
601,Sciences & Nature,"Quel organe a été le premier greffé avec succès, en 1954 à Boston, entre deux jumeaux ?",Le rein,2,Chirurgie
601,Sports & Loisirs,"Sous quel autre nom connaît-on la boxe française, qui autorise les coups de pied ?",La savate,2,Arts martiaux
602,Géographie,Quelle ville du Vaucluse est surnommée « la Cité des Papes » ?,Avignon,1,Villes
602,Divertissement,Quelle comédie de Claude Zidi (1984) met en scène Philippe Noiret et Thierry Lhermitte en policiers corrompus ?,Les Ripoux,2,Comédies françaises
602,Histoire,Quelle bataille de 507 vit Clovis vaincre les Wisigoths d'Alaric II ?,Vouillé,3,Mérovingiens et Carolingiens
602,Arts & Littérature,Quel passage de la Neuvième symphonie de Beethoven a été adopté comme hymne européen ?,L'Ode à la joie,1,Œuvres
602,Sciences & Nature,Quelle unité de charge électrique porte le nom d'un physicien français qui a étudié les forces électrostatiques ?,Le coulomb,2,Unités et mesures
602,Sports & Loisirs,Comment appelle-t-on le professionnel chargé de conseiller et de servir les vins dans un restaurant ?,Le sommelier,1,Vins
603,Géographie,Quel est le point culminant de la Suisse ?,La pointe Dufour,3,Suisse
603,Divertissement,"Quel réalisateur américain a signé « Pulp Fiction », Palme d'or en 1994 ?",Quentin Tarantino,1,Réalisateurs
603,Histoire,Quel marquis français devient major général de l'armée de Washington à seulement 19 ans ?,La Fayette,1,Indépendance américaine
603,Arts & Littérature,Quel est le véritable nom de famille de Louis-Ferdinand Céline ?,Destouches,3,Auteurs
603,Sciences & Nature,Quel rayonnement invisible émis par le Soleil est responsable des coups de soleil ?,Les ultraviolets (UV),1,Physique
603,Sports & Loisirs,Comment appelle-t-on la récupération du ballon après un tir manqué ?,Un rebond,1,Basket – vocabulaire
604,Géographie,Quelle chute d'eau proche de Québec est plus haute que les chutes du Niagara ?,La chute Montmorency,2,Québec
604,Divertissement,"Quel chanteur, complice d'Alain Souchon, a chanté « Rockollection » en 1977 ?",Laurent Voulzy,1,Variété française
604,Histoire,Quelle spationaute est devenue en 1996 la première Française à aller dans l'espace ?,Claudie André-Deshays (Haigneré),3,Conquête spatiale
604,Arts & Littérature,Quel musicien descendit aux Enfers pour ramener son épouse Eurydice ?,Orphée,1,Mythologie grecque
604,Sciences & Nature,"Quel pays a réussi en août 2023 le premier alunissage près du pôle Sud lunaire, avec la mission Chandrayaan-3 ?",L'Inde,2,Espace : missions
604,Sports & Loisirs,"Quelle célèbre course d'ultra-trail, dont le départ et l'arrivée ont lieu à Chamonix, fait le tour d'un massif alpin ?",L'UTMB (Ultra-Trail du Mont-Blanc),2,Athlétisme
605,Géographie,"Quel sommet, point culminant de la Grèce, était la demeure des dieux dans la mythologie ?",Le mont Olympe,1,Montagnes
605,Divertissement,Quel agent britannique au chapeau melon et au parapluie faisait équipe avec Emma Peel ?,John Steed,3,Séries britanniques
605,Histoire,Quelle bataille de 1866 voit la victoire décisive de la Prusse sur l'Autriche ?,Sadowa,2,Unité allemande
605,Arts & Littérature,Quel romancier anglais a créé les personnages d'Oliver Twist et de David Copperfield ?,Charles Dickens,1,Littérature anglaise
605,Sciences & Nature,Quel chimiste russe a publié en 1869 le tableau périodique des éléments qui l'a rendu célèbre ?,Dmitri Mendeleïev,1,Chimie : éléments
605,Sports & Loisirs,Quel Argentin a remporté Roland-Garros en 2004 face à son compatriote Guillermo Coria ?,Gastón Gaudio,3,Tennis – champions
606,Géographie,"Quel territoire britannique, célèbre pour son rocher peuplé de singes magots, se trouve à la pointe sud de l'Espagne ?",Gibraltar,1,Territoires
606,Divertissement,Quel studio d'animation japonais Hayao Miyazaki a-t-il cofondé en 1985 ?,Le studio Ghibli,2,Animation
606,Histoire,Quel petit-fils de Louis XIV monte sur le trône d'Espagne en 1700 ?,Philippe V (duc d'Anjou),2,Louis XIV
606,Arts & Littérature,"Quel roman d'Émile Ajar, narré par le petit Momo, a obtenu le prix Goncourt en 1975 ?",La Vie devant soi,2,Prix Goncourt
606,Sciences & Nature,Quelle théorie de Leon Festinger (1957) décrit le malaise ressenti face à des croyances ou actes contradictoires ?,La dissonance cognitive,2,Psychologie
606,Sports & Loisirs,Quelle ville américaine organise depuis 1897 le plus ancien marathon annuel du monde ?,Boston,2,Athlétisme
607,Géographie,Quel parallèle a servi de ligne de partage entre les deux Corées en 1945 ?,Le 38e parallèle,2,Asie
607,Divertissement,Quel geste fait Samantha pour lancer un sort dans « Ma sorcière bien-aimée » ?,Elle remue le nez,2,Sitcoms
607,Histoire,Quel roi des Francs fut baptisé à Reims par l'évêque Remi ?,Clovis,1,Mérovingiens et Carolingiens
607,Arts & Littérature,"Quel roman de Jonathan Littell, narré par un officier SS, a obtenu le prix Goncourt en 2006 ?",Les Bienveillantes,3,Prix Goncourt
607,Sciences & Nature,"Dans quel pays le système métrique a-t-il été créé, sous la Révolution ?",La France,1,Unités et mesures
607,Sports & Loisirs,"Quel pays africain a battu la France, tenante du titre, lors du match d'ouverture de la Coupe du monde 2002 ?",Le Sénégal,2,Football – Coupe du monde
608,Géographie,Quelle cité antique de Libye est la ville natale de l'empereur romain Septime Sévère ?,Leptis Magna,3,Monuments
608,Divertissement,Quel chat orange de bande dessinée adore les lasagnes et déteste les lundis ?,Garfield,1,Comics
608,Histoire,Quel monument égyptien se dresse place de la Concorde à Paris depuis 1836 ?,L'obélisque de Louxor,1,Égypte ancienne
608,Arts & Littérature,Quel architecte italien a conçu le Centre Pompidou avec Richard Rogers ?,Renzo Piano,2,Architectes
608,Sciences & Nature,Quelle organisation internationale publie la Liste rouge des espèces menacées ?,L'UICN,2,Écologie
608,Sports & Loisirs,"Quel fromage néerlandais en forme de boule, enrobé de cire rouge, porte le nom d'une ville au nord d'Amsterdam ?",L'édam,2,Fromages
609,Géographie,Quel massif montagneux du Sahara algérien a pour ville principale Tamanrasset ?,Le Hoggar,2,Montagnes
609,Divertissement,Quelle chanteuse a remporté l'Eurovision 1977 pour la France avec « L'Oiseau et l'Enfant » ?,Marie Myriam,2,Eurovision
609,Histoire,Quel recueil de lois publié en 1804 est aussi appelé Code Napoléon ?,Le Code civil,1,Consulat
609,Arts & Littérature,Quelle photographe américaine a pris en 1936 le cliché « Migrant Mother » pendant la Grande Dépression ?,Dorothea Lange,3,Photographie
609,Sciences & Nature,"Quel tendon, portant le nom d'un héros grec, relie le mollet au talon ?",Le tendon d'Achille,1,Muscles
609,Sports & Loisirs,"Selon la légende, dans quelle école anglaise le rugby serait-il né en 1823 ?",Rugby School,2,Rugby – histoire
610,Géographie,Quel détroit sépare l'Asie de l'Amérique ?,Le détroit de Béring,1,Détroits et canaux
610,Divertissement,Par quelle lettre est désigné l'inventeur des gadgets de James Bond ?,Q,2,James Bond
610,Histoire,"Quel royaume nubien avait pour capitale Méroé, célèbre pour ses nombreuses pyramides ?",Le royaume de Koush,3,Amériques et Afrique antiques
610,Arts & Littérature,"Quel poète a écrit « Le Dormeur du val », où un jeune soldat semble dormir dans l'herbe ?",Arthur Rimbaud,1,Poésie
610,Sciences & Nature,"Quel savant français a conçu à 19 ans une machine à calculer pour aider son père, collecteur d'impôts ?",Blaise Pascal,2,Informatique
610,Sports & Loisirs,"En Formule 1, que signale aux pilotes l'agitation d'un drapeau jaune ?",Un danger (dépassement interdit),2,Sports mécaniques
611,Géographie,"Quelle ville égyptienne, l'antique Thèbes, abrite le temple de Karnak ?",Louxor,2,Villes
611,Divertissement,Quel jeu pour smartphone a lancé en 2016 une chasse aux Pokémon en réalité augmentée dans les rues ?,Pokémon Go,1,Jeux vidéo
611,Histoire,Quelle bataille meurtrière de 1859 inspire à Henri Dunant la création de la Croix-Rouge ?,Solférino,2,Second Empire
611,Arts & Littérature,Quel philosophe allemand soutenait que nous vivons dans « le meilleur des mondes possibles » ?,Gottfried Wilhelm Leibniz,2,Philosophie moderne
611,Sciences & Nature,"Quel mathématicien français, mort en duel à 20 ans en 1832, est à l'origine de la théorie des groupes ?",Évariste Galois,2,Mathématiques
611,Sports & Loisirs,Quel surnom porte l'équipe d'Australie de rugby ?,Les Wallabies,1,Rugby – sélections
612,Géographie,Comment appelle-t-on le point de l'orbite terrestre le plus proche du Soleil ?,Le périhélie,3,Fuseaux et latitudes
612,Divertissement,"Quel pas de danse, popularisé par Michael Jackson en 1983, donne l'illusion de marcher vers l'avant tout en reculant ?",Le moonwalk,1,Pop américaine
612,Histoire,Au cours de quelle nuit de 1789 l'Assemblée abolit-elle les privilèges ?,La nuit du 4 août,1,Révolution française
612,Arts & Littérature,Quel romancier américain du Sud a écrit « Le Bruit et la Fureur » ?,William Faulkner,2,Littérature américaine
612,Sciences & Nature,"Comment appelle-t-on la zone de la rétine dépourvue de photorécepteurs, là où naît le nerf optique ?",La tache aveugle,2,Sens : la vue
612,Sports & Loisirs,Quelle sélection nationale joue en orange et est surnommée « Oranje » ?,Les Pays-Bas,1,Football – sélections
613,Géographie,Quel massif montagneux du sud-ouest de l'Allemagne a donné son nom à un célèbre gâteau au chocolat et aux cerises ?,La Forêt-Noire,1,Montagnes
613,Divertissement,Quel batteur a remplacé Pete Best au sein des Beatles en 1962 ?,Ringo Starr,2,Pop-rock britannique
613,Histoire,Quelle organisation armée clandestine luttait par la violence contre l'indépendance de l'Algérie à partir de 1961 ?,L'OAS,2,Guerre d'Algérie
613,Arts & Littérature,"Sur quel nombre est-on, selon l'expression, quand on s'est habillé de façon très élégante ?",Trente et un,2,Expressions
613,Sciences & Nature,Quels prénoms portaient les deux tempêtes qui ont dévasté la France fin décembre 1999 ?,Lothar et Martin,3,Météorologie
613,Sports & Loisirs,Combien de cases compte un échiquier ?,64,1,Échecs
614,Géographie,Quelle ville surnommée « le port de la Lune » est inscrite à l'UNESCO depuis 2007 ?,Bordeaux,2,Patrimoine UNESCO
614,Divertissement,Quel groupe punk britannique a provoqué un scandale avec « God Save the Queen » en 1977 ?,Sex Pistols,2,Punk
614,Histoire,"Comment appelle-t-on la longue retraite de l'armée communiste chinoise en 1934-1935, qui fit la légende de Mao ?",La Longue Marche,1,Chine
614,Arts & Littérature,"Quel écrivain allemand a publié en 1985 « Le Parfum », histoire d'un meurtrier doté d'un odorat exceptionnel ?",Patrick Süskind,2,Littérature allemande
614,Sciences & Nature,Quelle plante des Seychelles produit la plus grosse graine du monde végétal ?,Le coco de mer (coco fesse),3,Plantes
614,Sports & Loisirs,De quelle couleur est le maillot du leader du classement général du Tour de France ?,Jaune,1,Cyclisme – Tour de France
615,Géographie,Quelle forêt bretonne est associée aux légendes de Merlin et de la fée Viviane ?,La forêt de Brocéliande,1,Sites naturels
615,Divertissement,Quel acteur britannique tient le rôle-titre de « Lawrence d'Arabie » (1962) ?,Peter O'Toole,3,Acteurs
615,Histoire,"Quelle arme incendiaire, projetée sur les navires ennemis, était le secret des Byzantins ?",Le feu grégeois,2,Byzance
615,Arts & Littérature,"Quel peintre a réalisé « Guernica » en 1937, en réaction au bombardement d'une ville basque ?",Pablo Picasso,1,Tableaux célèbres
615,Sciences & Nature,"Quel est le nerf le plus long et le plus gros du corps humain, qui descend dans la jambe ?",Le nerf sciatique,2,Cerveau et nerfs
615,Sports & Loisirs,Quelle ville de l'Isère a accueilli les Jeux olympiques d'hiver de 1968 ?,Grenoble,1,Villes olympiques
616,Géographie,Quel monument offert par la France fut inauguré en 1886 à l'entrée du port de New York ?,La statue de la Liberté,1,Monuments et sites
616,Divertissement,Quelle accordéoniste aux cheveux flamboyants a suivi la caravane du Tour de France dans les années 1950 ?,Yvette Horner,2,Célébrités de la musique
616,Histoire,Quel dernier vice-roi des Indes a supervisé le partage de l'Inde britannique en 1947 ?,Lord Mountbatten,3,Décolonisation
616,Arts & Littérature,Quel roi de Corinthe est condamné aux Enfers à pousser éternellement un rocher qui retombe sans cesse ?,Sisyphe,1,Mythologie grecque
616,Sciences & Nature,Quel sucre entre dans la composition de l'ADN et lui donne une partie de son nom ?,Le désoxyribose,3,Génétique
616,Sports & Loisirs,Quel gardien de but était le capitaine de l'équipe de France championne du monde en 2018 ?,Hugo Lloris,1,Football – équipe de France
617,Géographie,Sur quelle île au large de Cannes l'homme au masque de fer fut-il emprisonné ?,L'île Sainte-Marguerite,3,Îles
617,Divertissement,"Quelle console portable de Nintendo, sortie en 1989, a rendu Tetris célèbre dans le monde entier ?",La Game Boy,1,Jeux vidéo
617,Histoire,Quelle bataille navale de 480 av. J.-C. vit la flotte grecque écraser celle des Perses près d'Athènes ?,Salamine,2,Grèce antique
617,Arts & Littérature,Quelle danse brésilienne à deux temps est reine du carnaval de Rio ?,La samba,1,Danse
617,Sciences & Nature,Quel crustacé protège son abdomen mou en s'installant dans une coquille vide ?,Le bernard-l'ermite,1,Poissons et animaux marins
617,Sports & Loisirs,Quelle tourte au poulpe épicée est la spécialité de la ville de Sète ?,La tielle,3,Cuisine régionale
618,Géographie,Dans quelle région grecque se trouvent les monastères perchés des Météores ?,La Thessalie,3,Sites célèbres
618,Divertissement,Quel acteur a incarné le commissaire Navarro dans la série de TF1 ?,Roger Hanin,1,Séries françaises
618,Histoire,Quelle fille de chef amérindien de Virginie épouse le colon anglais John Rolfe en 1614 ?,Pocahontas,1,Amérique du Nord
618,Arts & Littérature,Quel écrivain a refusé le prix Goncourt 1951 attribué au « Rivage des Syrtes » ?,Julien Gracq,3,Prix Goncourt
618,Sciences & Nature,Quel poisson orange et blanc vit en symbiose avec les anémones de mer ?,Le poisson-clown,1,Poissons et animaux marins
618,Sports & Loisirs,Quelle couturière française a lancé en 1926 la célèbre « petite robe noire » ?,Coco Chanel,1,Mode
619,Géographie,Comment s'appelle l'estuaire formé par la réunion de la Garonne et de la Dordogne ?,La Gironde,1,Fleuves et rivières
